Batch Number,B2500391,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040003,,,,,,,
Product name, PETFLAKES Performance - Puppy ,,,,,,,
NIR-Code,M20260202-00085,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1327,0.24351148,2848761.173,1626089.932,,,,,
1328,0.24406638,2848165.069,1623673.76,,,,,
1329,0.24465595,2847407.586,1621039.855,,,,,
1330,0.24528031,2846481.027,1618184.291,,,,,
1331,0.24593966,2845377.694,1615103.142,,,,,
1332,0.24663419,2844089.891,1611792.483,,,,,
1333,0.24736414,2842609.919,1608248.389,,,,,
1334,0.24812977,2840930.082,1604466.933,,,,,
1335,0.24893139,2839042.753,1600444.22,,,,,
1336,0.24976942,2836942.612,1596177.313,,,,,
1337,0.25064443,2834627.089,1591664.415,,,,,
1338,0.25155703,2832093.774,1586903.799,,,,,
1339,0.25250787,2829340.259,1581893.738,,,,,
1340,0.25349764,2826364.134,1576632.502,,,,,
1341,0.25452705,2823162.99,1571118.364,,,,,
1342,0.25559686,2819734.418,1565349.596,,,,,
1343,0.25670788,2816076.008,1559324.47,,,,,
1344,0.25786081,2812185.729,1553041.944,,,,,
1345,0.25905431,2808067.469,1546511.778,,,,,
1346,0.2602853,2803729.829,1539752.317,,,,,
1347,0.26155063,2799181.536,1532782.145,,,,,
1348,0.26284711,2794431.321,1525619.846,,,,,
1349,0.26417147,2789487.911,1518284.003,,,,,
1350,0.26552037,2784360.037,1510793.201,,,,,
1351,0.26689041,2779056.427,1503166.022,,,,,
1352,0.26827812,2773585.811,1495421.05,,,,,
1353,0.26968008,2767957.361,1487576.513,,,,,
1354,0.27109427,2762183.916,1479647.696,,,,,
1355,0.27251928,2756280.121,1471648.435,,,,,
1356,0.27395366,2750260.633,1463592.556,,,,,
1357,0.2753959,2744140.111,1455493.884,,,,,
1358,0.27684441,2737933.211,1447366.246,,,,,
1359,0.27829755,2731654.592,1439223.466,,,,,
1360,0.27975361,2725318.91,1431079.371,,,,,
1361,0.28121079,2718940.825,1422947.787,,,,,
1362,0.28266757,2712528.288,1414837.965,,,,,
1363,0.28412385,2706059.59,1406738.923,,,,,
1364,0.28558,2699504.821,1398634.085,,,,,
1365,0.28703645,2692834.068,1390506.872,,,,,
1366,0.28849373,2686017.422,1382340.709,,,,,
1367,0.28995241,2679024.971,1374119.018,,,,,
1368,0.29141317,2671826.804,1365825.221,,,,,
1369,0.29287677,2664393.01,1357442.742,,,,,
1370,0.29434402,2656693.713,1348955.013,,,,,
1371,0.29581655,2648707.525,1340347.651,,,,,
1372,0.29729761,2640432.633,1331611.316,,,,,
1373,0.2987908,2631869.968,1322737.373,,,,,
1374,0.3002998,2623020.465,1313717.19,,,,,
1375,0.30182838,2613885.055,1304542.131,,,,,
1376,0.30338044,2604464.672,1295203.565,,,,,
1377,0.30496001,2594760.249,1285692.855,,,,,
