Batch Number,B2600092,,,,,,
Category,Livestock,,,,,,
Specie,Horse,,,,,,
Family,Pleasure,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PHRS250801,,,,,,
Product name,HORSE FEED - SPORT HORSE - 25KG,,,,,,
NIR-Code,D20260216-00112,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2102,2332,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4778,4172,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1170,0.11994777,1753731.398,1330501.317,1936422,1411332,,
1171,0.12075028,1755934.097,1329713.053,1923547,1399987,,
1172,0.12154385,1758015.675,1328858.973,1901892,1383246,,
1173,0.12232001,1761185.718,1328878.094,1898251,1380346,,
1174,0.12308184,1765138.935,1329526.671,1888853,1374022,,
1175,0.12383603,1769212.277,1330282.608,1867581,1359937,,
1176,0.12457928,1773374.244,1331131.992,1864926,1359912,,
1177,0.1252994,1778087.571,1332458.666,1853529,1354037,,
1178,0.12599249,1783070.766,1334062.239,1841598,1348297,,
1179,0.12667605,1786364.531,1334424.603,1831105,1344173,,
1180,0.1273702,1786379.298,1332304.455,1813418,1335295,,
1181,0.12807337,1785670.691,1329621.424,1808761,1336153,,
1182,0.12876919,1788441.558,1329552.735,1801893,1335592,,
1183,0.12944368,1795229.71,1332528.02,1786574,1329090,,
1184,0.13009439,1802255.383,1335740.019,1786611,1334225,,
1185,0.13072446,1806520.531,1336960.084,1777067,1332134,,
1186,0.13133722,1808454.678,1336504.438,1766819,1329845,,
1187,0.13193476,1809261.081,1335261.972,1758059,1328851,,
1188,0.13252263,1810798.337,1334588.745,1752539,1330530,,
1189,0.13310686,1815293.864,1336103.434,1741744,1328380,,
1190,0.13368267,1822966.621,1339972.998,1735965,1330642,,
1191,0.13423326,1830791.601,1344019.738,1727701,1331000,,
1192,0.13474696,1836196.627,1346394.172,1719014,1331157,,
