Batch Number,B2500166,,,,,,,
Category,Pet Food,,,,,,,
Specie,Dog,,,,,,,
Family,Healthcare,,,,,,,
Brand,PETFLAKES,,,,,,,
Product Code,DDF040021,,,,,,,
Product name,PETFLAKES Maintenance - Mini Adult Dog 4  Kg,,,,,,,
NIR-Code,M20260202-00080,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2493,2557,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,5481,5420,,,,,,
Lamp PD:,91,92,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,13,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,105,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1174,0.32980873,2079046.761,972871.611,,,,,
1175,0.33115006,2083411.431,971907.6054,,,,,
1176,0.33247934,2087809.12,970982.5987,,,,,
1177,0.33379905,2092233.955,970088.1469,,,,,
1178,0.33511168,2096680.064,969215.8059,,,,,
1179,0.33641976,2101141.576,968357.1315,,,,,
1180,0.33772526,2105613.997,967505.6179,,,,,
1181,0.33902608,2110102.443,966668.2662,,,,,
1182,0.34031834,2114616.12,965857.8264,,,,,
1183,0.34159812,2119164.249,965087.0694,,,,,
1184,0.34286149,2123756.051,964368.7664,,,,,
1185,0.34410447,2128400.747,963715.6882,,,,,
1186,0.34532306,2133107.556,963140.606,,,,,
1187,0.34651323,2137885.701,962656.2908,,,,,
1188,0.34767093,2142744.401,962275.5135,,,,,
1189,0.34879213,2147692.816,962010.999,,,,,
1190,0.3498733,2152735.921,961872.3841,,,,,
1191,0.35091185,2157871.96,961864.3325,,,,,
1192,0.35190527,2163098.568,961991.0575,,,,,
1193,0.3528511,2168413.377,962256.7723,,,,,
1194,0.35374689,2173814.02,962665.6902,,,,,
1195,0.35459024,2179298.131,963222.0243,,,,,
1196,0.35537879,2184863.344,963929.988,,,,,
1197,0.3561102,2190507.292,964793.7944,,,,,
1198,0.35678221,2196227.608,965817.6568,,,,,
1199,0.35739224,2202021.903,967006.492,,,,,
1200,0.35793596,2207887.649,968369.2899,,,,,
1201,0.3584084,2213822.273,969916.5034,,,,,
1202,0.35880469,2219823.2,971658.5869,,,,,
1203,0.35912004,2225887.854,973605.9951,,,,,
1204,0.35934975,2232013.661,975769.1826,,,,,
1205,0.35948923,2238198.045,978158.6039,,,,,
1206,0.35953401,2244438.432,980784.7138,,,,,
1207,0.35947972,2250732.247,983657.9668,,,,,
1208,0.35932221,2257076.939,986788.6765,,,,,
1209,0.35905904,2263470.526,990183.7794,,,,,
1210,0.35868952,2269911.605,993846.7601,,,,,
1211,0.35821314,2276398.804,997780.9471,,,,,
1212,0.35762949,2282930.748,1001989.669,,,,,
1213,0.35693826,2289506.061,1006476.253,,,,,
1214,0.35613925,2296123.37,1011244.029,,,,,
1215,0.35523234,2302781.299,1016296.325,,,,,
1216,0.35421753,2309478.475,1021636.469,,,,,
1217,0.35309493,2316213.506,1027267.763,,,,,
1218,0.35186795,2322978.614,1033183.028,,,,,
1219,0.35054803,2329749.939,1039348.708,,,,,
1220,0.34914761,2336501.132,1045727.163,,,,,
1221,0.34767882,2343205.844,1052280.749,,,,,
1222,0.34615347,2349837.727,1058971.827,,,,,
1223,0.34458303,2356370.43,1065762.754,,,,,
1224,0.34297862,2362777.606,1072615.889,,,,,
1225,0.34135102,2369032.906,1079493.591,,,,,
1226,0.33971067,2375109.979,1086358.219,,,,,
1227,0.33806743,2380984.72,1093173.718,,,,,
1228,0.33642956,2386646.223,1099913.38,,,,,
1229,0.33480465,2392088.393,1106553.902,,,,,
1230,0.33320006,2397305.146,1113071.988,,,,,
1231,0.331623,2402290.395,1119444.341,,,,,
1232,0.33008048,2407038.054,1125647.664,,,,,
1233,0.32857939,2411542.037,1131658.66,,,,,
1234,0.32712645,2415796.258,1137454.033,,,,,
1235,0.32572829,2419794.63,1143010.485,,,,,
1236,0.32439103,2423535.664,1148307.982,,,,,
1237,0.32311538,2427078.161,1153369.293,,,,,
1238,0.3218985,2430523.358,1158247.311,,,,,
1239,0.32073777,2433973.376,1162995.558,,,,,
1240,0.31963082,2437530.335,1167667.555,,,,,
1241,0.31857551,2441296.357,1172316.824,,,,,
1242,0.3175699,2445373.561,1176996.885,,,,,
1243,0.31661224,2449864.069,1181761.261,,,,,
1244,0.31570092,2454870.002,1186663.472,,,,,
1245,0.3148345,2460490.985,1191755.812,,,,,
1246,0.31401182,2466748.936,1197052.304,,,,,
1247,0.31323195,2473574.733,1202522.142,,,,,
1248,0.31249385,2480894.074,1208131.967,,,,,
1249,0.31179634,2488632.657,1213848.421,,,,,
1250,0.31113818,2496716.179,1219638.144,,,,,
1251,0.31051803,2505070.34,1225467.779,,,,,
1252,0.30993449,2513620.836,1231303.966,,,,,
1253,0.30938611,2522293.367,1237113.347,,,,,
1254,0.30887138,2531013.831,1242862.665,,,,,
1255,0.30838873,2539725.717,1248527.432,,,,,
1256,0.3079365,2548403.454,1254098.592,,,,,
1257,0.30751306,2557024.612,1259568.658,,,,,
1258,0.30711678,2565566.764,1264930.14,,,,,
1259,0.30674606,2574007.481,1270175.551,,,,,
1260,0.30639931,2582324.336,1275297.401,,,,,
1261,0.306075,2590494.901,1280288.202,,,,,
1262,0.30577158,2598496.747,1285140.467,,,,,
1263,0.30548755,2606307.474,1289846.721,,,,,
1264,0.30522127,2613913.087,1294404.082,,,,,
1265,0.30497081,2621319.882,1298820.743,,,,,
1266,0.3047342,2628537.153,1303106.537,,,,,
1267,0.30450952,2635574.193,1307271.296,,,,,
1268,0.30429489,2642440.296,1311324.852,,,,,
1269,0.30408845,2649144.756,1315277.036,,,,,
1270,0.30388838,2655696.866,1319137.68,,,,,
1271,0.30369286,2662105.921,1322916.617,,,,,
1272,0.30350013,2668381.212,1326623.678,,,,,
1273,0.30330869,2674530.975,1330267.385,,,,,
1274,0.30311783,2680560.248,1333852.317,,,,,
1275,0.30292698,2686473.47,1337382.313,,,,,
1276,0.3027356,2692275.082,1340861.211,,,,,
1277,0.30254315,2697969.524,1344292.852,,,,,
1278,0.30234908,2703561.234,1347681.072,,,,,
1279,0.30215287,2709054.654,1351029.712,,,,,
1280,0.30195398,2714454.222,1354342.61,,,,,
1281,0.3017519,2719764.379,1357623.604,,,,,
1282,0.30154638,2724988.964,1360875.402,,,,,
1283,0.30133809,2730129.769,1364096.846,,,,,
1284,0.30112785,2735188.146,1367285.953,,,,,
1285,0.30091652,2740165.45,1370440.742,,,,,
1286,0.30070493,2745063.034,1373559.231,,,,,
1287,0.30049389,2749882.252,1376639.437,,,,,
