Batch Number,B2600082,,,,,,,
Category,Poultry,,,,,,,
Specie,Chicken,,,,,,,
Family,Layer Baladi,,,,,,,
Brand,FARMFLAKES,,,,,,,
Product Code,PPEG250201 ,,,,,,,
Product name, CHICKEN FEED - BALADI GROWER 1,,,,,,,
NIR-Code,D20260211-00103,,,,,,,
FileTitle:,IAS_Spectrum,,,,,,,
Head:,Reference,Sample,,,,,,
System Temp hundredths:,2325,2482,,,,,,
Detector Temp hundredths:,0,0,,,,,,
Humidity hundredths:,4936,4588,,,,,,
Lamp PD:,93,94,,,,,,
Tec Temp:,0,,,,,,,
Product SN:,8B6YK9LO,,,,,,,
Serial Number:,5B25203,,,,,,,
Scan Config Name:,IAS5100,,,,,,,
Scan Config Type:,2,,,,,,,
Start wavelength in nm:,900,,,,,,,
End wavelength in nm:,1700,,,,,,,
Pattern Pixel Width:,11,,,,,,,
Exposure Time:,0,,,,,,,
Measurement points:,420,,,,,,,
Number of Measurement points:,801,,,,,,,
Num Repeats:,90,90,,,,,,
PGA Gain:,64,64,,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,,
1205,0.10457244,1898459.582,1492206.462,1681549,1523684,,,
1206,0.10446522,1898819.026,1492857.507,1685484,1530447,,,
1207,0.10432132,1900190.611,1494430.943,1682609,1530450,,,
1208,0.1041263,1905972.67,1499651.586,1693858,1542673,,,
1209,0.10387451,1915735.243,1508207.085,1697458,1547541,,,
1210,0.10356715,1925136.915,1516681.802,1700968,1551704,,,
1211,0.10320796,1931386.05,1522864.05,1706371,1557294,,,
1212,0.10281158,1936089.322,1527966.414,1713480,1564214,,,
1213,0.10239112,1941264.282,1533534.469,1718339,1568821,,,
1214,0.10192871,1946981.584,1539689.439,1727210,1577133,,,
1215,0.10139446,1952508.933,1545961.129,1733851,1582828,,,
1216,0.1007965,1957754.601,1552250.303,1739781,1588215,,,
1217,0.10018248,1963293.42,1558844.28,1747227,1594662,,,
1218,0.09957943,1969476.281,1565926.339,1755197,1601436,,,
1219,0.09895808,1976012.59,1573372.759,1763093,1608010,,,
1220,0.09828665,1982490.493,1580973.044,1764072,1607958,,,
1221,0.0975731,1988351.624,1588254.477,1779704,1621403,,,
1222,0.09684015,1993030.453,1594680.853,1791778,1631162,,,
1223,0.09609972,1997128.097,1600686.207,1792391,1630509,,,
1224,0.09535545,2002380.751,1607648.9,1810084,1645096,,,
1225,0.09461068,2009388.707,1616044.355,1819825,1652526,,,
1226,0.09386283,2016030.702,1624180.575,1829044,1659008,,,
1227,0.09310739,2020313.245,1630464.393,1839023,1666324,,,
1228,0.09235109,2023238.414,1635671.058,1841590,1666765,,,
1229,0.09160717,2026810.051,1641367.688,1856344,1678343,,,
1230,0.09088368,2031428.457,1647850.648,1868357,1687469,,,
1231,0.09018183,2036120.92,1654328.429,1870195,1687256,,,
1232,0.08949809,2040425.843,1660438.247,1888293,1701807,,,
1233,0.08882269,2044968.373,1666724.826,1896139,1707197,,,
1234,0.08815155,2049967.547,1673383.329,1903127,1711534,,,
1235,0.08750543,2053089.015,1678426.584,1910670,1716956,,,
1236,0.08690691,2051627.531,1679544.859,1919123,1722538,,,
1237,0.08634782,2048050.83,1678776.623,1925708,1726687,,,
1238,0.08580449,2048396.406,1681161.806,1935568,1733795,,,
1239,0.08526683,2054455.498,1688223.362,1942654,1738189,,,
1240,0.08473651,2061283.679,1695903.95,1949098,1741852,,,
