Batch Number,B2600081,,,,,,
Category,Livestock,,,,,,
Specie,Cattle,,,,,,
Family,Dairy,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PFDP010802,,,,,,
Product name,FARHAT FEED - DAIRY PRODUCTION COW,,,,,,
NIR-Code,D20260211-00102,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2399,2523,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4610,4543,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1137,0.11616047,1681620.768,1286967.537,2327641,1722256,,
1138,0.11668634,1682699.014,1286234.327,2316960,1713208,,
1139,0.11720749,1684198.784,1285836.831,2307880,1705412,,
1140,0.11773944,1684884.908,1284786.007,2301788,1699649,,
1141,0.11830721,1683290.04,1281892.903,2288228,1688632,,
1142,0.11892035,1680295.317,1277807.009,2280278,1681724,,
1143,0.11956686,1679358.945,1275195.198,2268145,1671662,,
1144,0.12023301,1682800.218,1275849.8,2255292,1660995,,
1145,0.12092161,1688094.655,1277836.191,2243013,1651172,,
1146,0.12164348,1691705.007,1278442.371,2230442,1640646,,
1147,0.12239275,1692458.799,1276807.296,2217145,1629483,,
1148,0.12314609,1691141.899,1273602.666,2191570,1609504,,
1149,0.12389152,1688982.591,1269795.107,2186643,1604379,,
1150,0.12465084,1688243.736,1267022.429,2174928,1594146,,
1151,0.12544511,1691051.027,1266810.358,2146271,1571389,,
1152,0.12626427,1696315.434,1268359.432,2139917,1564852,,
1153,0.12708531,1701058.709,1269503.776,2122234,1549848,,
1154,0.12790001,1703728.883,1269113.534,2104835,1534728,,
1155,0.1287189,1705452.729,1268004.486,2089637,1521213,,
1156,0.1295507,1707473.586,1267077.834,2067274,1502041,,
1157,0.13039463,1709921.574,1266431.093,2064196,1496650,,
1158,0.13124691,1712491.866,1265848.136,2060161,1490384,,
1159,0.13210137,1715115.987,1265295.964,2046659,1476900,,
1160,0.13294813,1718016.86,1264967.289,2052141,1477087,,
1161,0.13377868,1721368.313,1265013.397,2044375,1467168,,
1162,0.13459255,1725080.215,1265367.705,2033928,1455367,,
1163,0.13539182,1728981.805,1265897.678,2023694,1443423,,
1164,0.13618355,1732661.787,1266281.462,2015702,1432800,,
1165,0.13697923,1735521.972,1266050.086,2000243,1417351,,
1166,0.13778185,1737526.164,1265171.786,1989895,1405370,,
1167,0.13857119,1739962.906,1264645.504,1976060,1391508,,
1168,0.13932502,1744045.701,1265414.605,1961594,1377631,,
1169,0.14004998,1748903.231,1266822.582,1948951,1365540,,
1170,0.14076892,1752705.112,1267476.546,1936102,1354092,,
1171,0.14149268,1754970.341,1267001.409,1923223,1343095,,
